Vorname,Name,Straße,Hausnummer,PLZ,Ort,Land,Bestell_Datum,Rechnungs_Liefer_Datum,n,VK ohne Ust,VK mit Ust,VK Gesamt,Stückpreis mit Ust,Stückpreis ohne Ust,Ust. % Satz,ZS Produkt,Zs ohne Ust,Gesamt Ust. Betrag
Sarah,Haasz,Wilhelm-Ostwald-Straße,29,69190,Walldorf (Baden),Germany,28 April 2019,01 May 2019,2,0.0,0.0,0.0,19.99,16.798319327731093,0.19,39.98,33.596638655462186,6.383361344537811
Zuri,Ibisevic,Florian-Geyer-Straße,6,71287,Weissach,Germany,29 April 2019,02 May 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Raphael,Igelbrink,KGA Am Teltowkanal III,1,72144,Dußlingen,Germany,30 April 2019,03 May 2019,2,0.0,0.0,0.0,19.99,16.798319327731093,0.19,39.98,33.596638655462186,6.383361344537811
Carla,Abbassi,Bärdorfer Zeile,51,69151,Neckargemünd,Germany,01 May 2019,04 May 2019,1,2.0,2.38,2.38,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Aamu,Aben,Radickestraße,25,71131,Jettingen,Germany,02 May 2019,05 May 2019,1,0.0,0.0,0.0,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Jules,Packeiser,Hallberger Zeile,6,72827,Wannweil,Germany,03 May 2019,06 May 2019,1,2.99,3.5581000000000005,3.5581000000000005,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Frieda,Jäger,Bärdorfer Zeile,45,72535,Heroldstatt,Germany,04 May 2019,07 May 2019,1,1.0,1.19,1.19,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Julian,Bacha,Heidekampweg,2,72160,Horb am Neckar,Germany,05 May 2019,08 May 2019,2,1.69,2.0111,2.0111,19.99,16.798319327731093,0.19,39.98,33.596638655462186,6.383361344537811
Ava,Kabisch,Hollstraße,5,68766,Hockenheim,Germany,06 May 2019,09 May 2019,2,0.0,0.0,0.0,99.99,84.02521008403362,0.19,199.98,168.05042016806723,31.92957983193276
Xani,Ibenthal,Hackenbergstraße,26,71159,Mötzingen,Germany,07 May 2019,10 May 2019,1,2.0,2.38,2.38,5.99,5.033613445378152,0.19,5.99,5.033613445378152,0.9563865546218482
Peter,Bachhofer,Arndtstraße,36,72186,Empfingen,Germany,08 May 2019,11 May 2019,1,0.0,0.0,0.0,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Meteo,Saadi,Bernstadter Weg,24,72519,Veringenstadt,Germany,09 May 2019,12 May 2019,1,2.4,2.856,2.856,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Arzu,Kablitz,Nipkowstraße,9,68794,Oberhausen-Rheinhausen,Germany,10 May 2019,13 May 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Radost,Haarseim,Rudower Chaussee,6,68766,Hockenheim,Germany,11 May 2019,14 May 2019,1,2.56,3.0464,3.0464,4.69,3.941176470588236,0.19,4.69,3.941176470588236,0.7488235294117644
Helena,Dabrowski,Gondeker Straße,3,68753,Waghäusel,Germany,12 May 2019,15 May 2019,2,0.0,0.0,0.0,99.99,84.02521008403362,0.19,199.98,168.05042016806723,31.92957983193276
Gabrielle,Macherius,Barbara-McClintock-Straße,9,72511,Bingen bei Sigmaringen,Germany,13 May 2019,16 May 2019,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Jakob,Gabcke,Berberitzenweg,25,72296,Schopfloch (Schwarzwald),Germany,14 May 2019,17 May 2019,1,0.0,0.0,0.0,6.99,5.873949579831933,0.19,6.99,5.873949579831933,1.116050420168067
Falko,Paap,Wassermannstraße,26,72525,Münsingen (Württemberg),Germany,15 May 2019,18 May 2019,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Violeta,Iannelli,Hänselstraße,9,71116,Gärtringen,Germany,16 May 2019,19 May 2019,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Luke,Quabeck,Genossenschaftsstraße,55,72488,Sigmaringen,Germany,17 May 2019,20 May 2019,1,1.99,2.3681,2.3681,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Dewis,Mabrouk,Schneckenburgerstraße,6,72299,Wörnersberg,Germany,18 May 2019,21 May 2019,1,3.99,4.7481,4.7481,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Niklas,Babl,Baumschulenstraße,7,71737,Kirchberg an der Murr,Germany,19 May 2019,22 May 2019,1,0.0,0.0,0.0,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Liz,Ebelt,Glienicker Weg,5,71296,Heimsheim,Germany,20 May 2019,23 May 2019,1,3.0,3.5700000000000003,3.5700000000000003,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Matti,Iborg,Hackenbergstraße,3,71299,Wimsheim,Germany,21 May 2019,24 May 2019,1,1.99,2.3681,2.3681,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Jean,Daehre,Gellertstraße,8,69257,Wiesenbach (Baden),Germany,22 May 2019,25 May 2019,1,0.0,0.0,0.0,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Asis,Bachman,Husstraße,26,72250,Freudenstadt,Germany,23 May 2019,26 May 2019,3,1.99,2.3681,2.3681,49.99,42.00840336134454,0.19,149.97,126.02521008403362,23.944789915966386
Amy,Abaci,Arndtstraße,25,68549,Ilvesheim,Germany,24 May 2019,27 May 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Victoria,Iannello,Königsheideweg,58,71120,Grafenau (Württemberg),Germany,25 May 2019,28 May 2019,1,0.0,0.0,0.0,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Liam,Bachinger,Bärdorfer Zeile,25,72202,Nagold,Germany,26 May 2019,29 May 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Sarah,Habeck,Agavensteig,48,69226,Nußloch,Germany,27 May 2019,30 May 2019,2,0.0,0.0,0.0,59.99,50.41176470588236,0.19,119.98,100.82352941176472,19.15647058823529
Mareen,Ebenau,Helbigstraße,4,71299,Wimsheim,Germany,28 May 2019,31 May 2019,1,3.99,4.7481,4.7481,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Hanno,Ebisch,Wilhelm-Ostwald-Straße,9,72141,Walddorfhäslach,Germany,29 May 2019,01 June 2019,2,1.99,2.3681,2.3681,69.99,58.81512605042017,0.19,139.98,117.63025210084034,22.34974789915965
Adriana,Abeling,Köpenicker Straße,1,71106,Magstadt,Germany,30 May 2019,02 June 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Augusta,Kaba,Anna-Seghers-Straße,25,72663,Großbettlingen,Germany,31 May 2019,03 June 2019,1,2.99,3.5581000000000005,3.5581000000000005,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
Felicitas,Calakovic,Weerthstraße,47,72664,Kohlberg (Württemberg),Germany,01 June 2019,04 June 2019,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Dag,Maaßen,Moissistraße,1,72226,Simmersfeld,Germany,02 June 2019,05 June 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Eva,Jähn,Hackenbergstraße,1,72581,Dettingen an der Erms,Germany,03 June 2019,06 June 2019,2,0.0,0.0,0.0,29.99,25.201680672268907,0.19,59.98,50.40336134453781,9.576638655462183
Lutz,Gaebler,Bernstadter Weg,9,72531,Hohenstein (Württemberg),Germany,04 June 2019,07 June 2019,3,1.99,2.3681,2.3681,6.39,5.369747899159663,0.19,19.17,16.10924369747899,3.060756302521007
Dorothee,Babaei,Pfingstberggasse,9,71563,Affalterbach,Germany,05 June 2019,08 June 2019,2,3.0,3.5700000000000003,3.5700000000000003,19.99,16.798319327731093,0.19,39.98,33.596638655462186,6.383361344537811
Igor,Gabauer,Heidemühler Weg,26,72224,Ebhausen,Germany,06 June 2019,09 June 2019,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Geoffrey,Eberstein,Rudower Chaussee,3,71720,Oberstenfeld,Germany,07 June 2019,10 June 2019,1,6.43,7.6517,7.6517,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Cem,Cada,Glienicker Weg,29,72505,Krauchenwies,Germany,08 June 2019,11 June 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Kiara,Oberdick,Lohnauer Steig,8,72827,Wannweil,Germany,09 June 2019,12 June 2019,2,0.0,0.0,0.0,49.99,42.00840336134454,0.19,99.98,84.01680672268908,15.96319327731092
Kevin,Gach,Husstraße,9,72469,Meßstetten,Germany,10 June 2019,13 June 2019,2,0.0,0.0,0.0,69.99,58.81512605042017,0.19,139.98,117.63025210084034,22.34974789915965
Jeremy,Gabriela,Arndtstraße,9,72369,Zimmern unter der Burg,Germany,11 June 2019,14 June 2019,1,1.78,2.1182,2.1182,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Cainan,Maak,Eigenheimgasse,47,72181,Starzach,Germany,12 June 2019,15 June 2019,1,1.35,1.6065,1.6065,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Lotta,Oberhoff,Gemeinschaftsstraße,1,72362,Nusplingen,Germany,13 June 2019,16 June 2019,1,3.0,3.5700000000000003,3.5700000000000003,4.69,3.941176470588236,0.19,4.69,3.941176470588236,0.7488235294117644
Walter,Jacobi,Bodelschwinghstraße,26,72477,Schwenningen (Heuberg),Germany,14 June 2019,17 June 2019,1,2.0,2.38,2.38,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Henry,Bachelier,Hänselstraße,95,72175,Dornhan,Germany,15 June 2019,18 June 2019,1,1.54,1.8326,1.8326,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Neo,Icen,Friedlander Straße,9,71554,Weissach im Tal,Germany,16 June 2019,19 June 2019,1,6.43,7.6517,7.6517,199.99,168.05882352941177,0.19,199.99,168.05882352941177,31.93117647058824
Arielle,Abels,Nipkowstraße,36,71120,Grafenau (Württemberg),Germany,17 June 2019,20 June 2019,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Pamir,Idris,Moissistraße,1,71729,Erdmannhausen,Germany,18 June 2019,21 June 2019,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Chaya,Kadasch,Rudower Chaussee,45,69257,Wiesenbach (Baden),Germany,19 June 2019,22 June 2019,1,0.0,0.0,0.0,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
Quentin,Labs,Bohrauer Pfad,98,71543,Wüstenrot,Germany,20 June 2019,23 June 2019,1,0.0,0.0,0.0,6.99,5.873949579831933,0.19,6.99,5.873949579831933,1.116050420168067
Beat,Back,Büchnerweg,1,72379,Hechingen,Germany,21 June 2019,24 June 2019,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Radi,Iglesias,Wünschelburger Gang,14,72160,Horb am Neckar,Germany,22 June 2019,25 June 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Ake,Bachofer,Genossenschaftsstraße,26,72355,Schömberg (Zollernalbkreis),Germany,23 June 2019,26 June 2019,1,7.56,8.9964,8.9964,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Jakob,Packheiser,Kiehnwerderallee,3,72221,Haiterbach,Germany,24 June 2019,27 June 2019,1,2.0,2.38,2.38,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
Lucy,Oberhammer,Anna-Seghers-Straße,27,72351,Geislingen (Zollernalbkreis),Germany,25 June 2019,28 June 2019,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Alba,Kabaca,Bernstadter Weg,24,72664,Kohlberg (Württemberg),Germany,26 June 2019,29 June 2019,1,7.56,8.9964,8.9964,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Daniel,Cagan,Köpenicker Straße,25,72514,Inzigkofen,Germany,27 June 2019,30 June 2019,2,2.1,2.499,2.499,169.99,142.84873949579833,0.19,339.98,285.69747899159665,54.28252100840336
Mae,Obermeyer,Rosenweg,14,72510,Stetten am kalten Markt,Germany,28 June 2019,01 July 2019,1,0.0,0.0,0.0,499.99,420.15966386554624,0.19,499.99,420.15966386554624,79.83033613445377
Lutz,Quadflieg,Lohnauer Steig,2,72513,Hettingen,Germany,29 June 2019,02 July 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Liv,Daffner,Anna-Seghers-Straße,48,71126,Gäufelden,Germany,30 June 2019,03 July 2019,2,1.7,2.023,2.023,99.99,84.02521008403362,0.19,199.98,168.05042016806723,31.92957983193276
Lennard,Gadinger,Hoffmannstraße,8,72513,Hettingen,Germany,01 July 2019,04 July 2019,1,1.4,1.666,1.666,0.99,0.8319327731092437,0.19,0.99,0.8319327731092437,0.1580672268907562
Fynn,Obernberger,Steinbachstraße,9,72514,Inzigkofen,Germany,02 July 2019,05 July 2019,1,0.0,0.0,0.0,89.99,75.6218487394958,0.19,89.99,75.6218487394958,14.368151260504192
Romy,Jäggi,Friedenstraße,2,72539,Pfronstetten,Germany,03 July 2019,06 July 2019,1,1.33,1.5827,1.5827,159.99,134.4453781512605,0.19,159.99,134.4453781512605,25.544621848739496
Falko,Obermoser,Schneckenburgerstraße,4,72511,Bingen bei Sigmaringen,Germany,04 July 2019,07 July 2019,2,0.0,0.0,0.0,149.99,126.0420168067227,0.19,299.98,252.0840336134454,47.89596638655462
Matthis,Saage,Eigenheimgasse,14,72531,Hohenstein (Württemberg),Germany,05 July 2019,08 July 2019,2,1.22,1.4518,1.4518,359.99,302.51260504201684,0.19,719.98,605.0252100840337,114.95478991596632
Saara,Habedank,Aprikosensteig,6,69231,Rauenberg,Germany,06 July 2019,09 July 2019,1,0.0,0.0,0.0,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Floris,Machemer,Carl-Scheele-Straße,1,72479,Straßberg,Germany,07 July 2019,10 July 2019,1,1.69,2.0111,2.0111,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
Anton,Labude,Gellertstraße,27,71560,Sulzbach an der Murr,Germany,08 July 2019,11 July 2019,1,7.56,8.9964,8.9964,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Kathrin,Oberdieck,Neltestraße,6,72213,Altensteig,Germany,09 July 2019,12 July 2019,1,1.78,2.1182,2.1182,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Luise,Abas,Friedenstraße,6,68753,Waghäusel,Germany,10 July 2019,13 July 2019,1,0.0,0.0,0.0,0.99,0.8319327731092437,0.19,0.99,0.8319327731092437,0.1580672268907562
Paul,Labsch,Bärdorfer Zeile,65,71546,Aspach bei Backnang,Germany,11 July 2019,14 July 2019,2,0.0,0.0,0.0,5.99,5.033613445378152,0.19,11.98,10.067226890756304,1.9127731092436964
Ulas,Jackl,Dornbrunner Straße,51,72369,Zimmern unter der Burg,Germany,12 July 2019,15 July 2019,1,0.0,0.0,0.0,4.69,3.941176470588236,0.19,4.69,3.941176470588236,0.7488235294117644
Tizian,Jachtmann,Wilhelm-Ostwald-Straße,5,72351,Geislingen (Zollernalbkreis),Germany,13 July 2019,16 July 2019,1,1.24,1.4756,1.4756,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Mattes,Saager,Freystadter Weg,12,72532,Gomadingen,Germany,14 July 2019,17 July 2019,1,1.01,1.2019,1.2019,89.99,75.6218487394958,0.19,89.99,75.6218487394958,14.368151260504192
Jutta,Oberbauer,Hackenbergstraße,1,72810,Gomaringen,Germany,15 July 2019,18 July 2019,1,0.0,0.0,0.0,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
Ethan,Macedo,Dörpfeldstraße,6,72361,Hausen am Tann,Germany,16 July 2019,19 July 2019,1,3.0,3.5700000000000003,3.5700000000000003,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
Ronina,Haase,Silberberger Straße,65,68782,Brühl (Baden),Germany,17 July 2019,20 July 2019,1,1.5,1.785,1.785,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Lion,Gaebel,Altheider Straße,7,72519,Veringenstadt,Germany,18 July 2019,21 July 2019,2,5.99,7.1281,7.1281,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Ari,Bachor,Hauptweg,23,72358,Dormettingen,Germany,19 July 2019,22 July 2019,1,2.4,2.856,2.856,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Obbo,Idczak,Freystadter Weg,8,71691,Freiberg am Neckar,Germany,20 July 2019,23 July 2019,1,1.99,2.3681,2.3681,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Rabea,Haars,Richard-Willstätter-Straße,8,68753,Waghäusel,Germany,21 July 2019,24 July 2019,2,7.56,8.9964,8.9964,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Laura,Ebbighausen,Hollstraße,25,71229,Leonberg (Württemberg),Germany,22 July 2019,25 July 2019,1,0.0,0.0,0.0,199.99,168.05882352941177,0.19,199.99,168.05882352941177,31.93117647058824
Dewis,Caiazzo,KGA Am Teltowkanal III,2,72539,Pfronstetten,Germany,23 July 2019,26 July 2019,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Marlene,Ebenberger,Köpenicker Straße,1,71384,Weinstadt,Germany,24 July 2019,27 July 2019,1,4.99,5.9381,5.9381,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Kiki,Oberdörster,Florian-Geyer-Straße,65,72221,Haiterbach,Germany,25 July 2019,28 July 2019,1,2.1,2.499,2.499,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Benita,Kacan,Selchowstraße,27,69168,Wiesloch,Germany,26 July 2019,29 July 2019,1,1.7,2.023,2.023,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Nova,Haack,Helbigstraße,48,72649,Wolfschlugen,Germany,27 July 2019,30 July 2019,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Hanno,Pacheco,Zinsgutstraße,9,72649,Wolfschlugen,Germany,28 July 2019,31 July 2019,1,1.35,1.6065,1.6065,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Erik,Macchia,Vogelbeerstraße,2,72356,Dautmergen,Germany,29 July 2019,01 August 2019,1,1.99,2.3681,2.3681,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Hagar,Pachl,Erich-Thilo-Straße,65,72658,Bempflingen,Germany,30 July 2019,02 August 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Leni,Oberhofer,Friedlander Straße,8,72361,Hausen am Tann,Germany,31 July 2019,03 August 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Flora,Abdallah,Husstraße,98,69226,Nußloch,Germany,01 August 2019,04 August 2019,1,0.0,0.0,0.0,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Kim,Oberender,Hauptweg,28,72250,Freudenstadt,Germany,02 August 2019,05 August 2019,1,1.54,1.8326,1.8326,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Sila,Habbel,Barbara-McClintock-Straße,26,69214,Eppelheim,Germany,03 August 2019,06 August 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Nika,Haacke,Hollstraße,9,72654,Neckartenzlingen,Germany,04 August 2019,07 August 2019,1,2.0,2.38,2.38,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Liam,Laborenz,Adlergestell,28,71522,Backnang,Germany,05 August 2019,08 August 2019,3,0.0,0.0,0.0,12.99,10.915966386554622,0.19,38.97,32.747899159663866,6.222100840336132
Kiara,Däppen,Florian-Geyer-Straße,2,69493,Hirschberg an der Bergstraße,Germany,06 August 2019,09 August 2019,1,0.0,0.0,0.0,119.99,100.83193277310924,0.19,119.99,100.83193277310924,19.15806722689075
Josephine,Dado,Heidekampweg,5,69221,Dossenheim,Germany,07 August 2019,10 August 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Harry,Ebrahimi,Chris-Gueffroy-Allee,25,72181,Starzach,Germany,08 August 2019,11 August 2019,1,7.56,8.9964,8.9964,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Peter,Idrizaj,Nipkowstraße,3,71735,Eberdingen,Germany,09 August 2019,12 August 2019,1,7.56,8.9964,8.9964,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Adam,Labuske,Husstraße,8,71577,Großerlach,Germany,10 August 2019,13 August 2019,2,1.01,1.2019,1.2019,59.99,50.41176470588236,0.19,119.98,100.82352941176472,19.15647058823529
Owen,Icöz,Eigenheimgasse,6,71686,Remseck am Neckar,Germany,11 August 2019,14 August 2019,1,1.99,2.3681,2.3681,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Judith,Daeuber,Hackenbergstraße,84,71088,Holzgerlingen,Germany,12 August 2019,15 August 2019,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Günter,Paas,Justus-von-Liebig-Straße,12,72535,Heroldstatt,Germany,13 August 2019,16 August 2019,1,0.0,0.0,0.0,39.99,33.60504201680673,0.19,39.99,33.60504201680673,6.384957983193274
Delia,Kadel,Thelenstraße,95,69434,Heddesbach,Germany,14 August 2019,17 August 2019,1,3.99,4.7481,4.7481,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Lion,Quadbeck,Hoffmannstraße,26,72510,Stetten am kalten Markt,Germany,15 August 2019,18 August 2019,1,0.0,0.0,0.0,59.99,50.41176470588236,0.19,59.99,50.41176470588236,9.578235294117649
Jan,Packert,KGA Holunderbusch,1,72218,Wildberg (Schwarzwald),Germany,16 August 2019,19 August 2019,2,1.0,1.19,1.19,149.99,126.0420168067227,0.19,299.98,252.0840336134454,47.89596638655462
Zamira,Ibishi,Friedenstraße,4,71292,Friolzheim,Germany,17 August 2019,20 August 2019,1,0.0,0.0,0.0,59.99,50.41176470588236,0.19,59.99,50.41176470588236,9.578235294117649
Baldur,Bacic,Anna-Seghers-Straße,4,72367,Weilen unter den Rinnen,Germany,18 August 2019,21 August 2019,1,0.0,0.0,0.0,0.99,0.8319327731092437,0.19,0.99,0.8319327731092437,0.1580672268907562
Andrea,Aberer,Selchowstraße,48,71144,Steinenbronn,Germany,19 August 2019,22 August 2019,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Alexander,Labudda,Friedenstraße,5,71554,Weissach im Tal,Germany,20 August 2019,23 August 2019,1,2.99,3.5581000000000005,3.5581000000000005,119.99,100.83193277310924,0.19,119.99,100.83193277310924,19.15806722689075
Nika,Ibric,Altheider Straße,65,71409,Schwaikheim,Germany,21 August 2019,24 August 2019,1,0.0,0.0,0.0,89.99,75.6218487394958,0.19,89.99,75.6218487394958,14.368151260504192
Oda,Haaf,Moissistraße,62,72657,Altenriet,Germany,22 August 2019,25 August 2019,1,1.69,2.0111,2.0111,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
